id;listing_id;date;reviewer_id;comments;score
1;1;2022-03-18;33;Appartamento perfettamente corrispondente alle foto,molto comodo per 3 persone.pulito e dotato di tutti i comfort. Matteo è una persona molto gentile,accomodante e disponibile. Consigliato.;10
2;1;2022-03-20;34;Matteo e suo fratello sono molto attenti, puntuali e disponibili oltre che simpatici. Siamo stati molto bene;10
3;1;2022-03-23;35;Matteo was a very lovely host! We arrived a bit early, but he let us leave our luggage in the loft while we went out to explore Rome. The location is amazing - so close to both a grocery store as well as the colosseum, with a beautiful park in between. Overall, very happy with the experience.;8
4;1;2022-03-24;36;Great place to stay!! Great location near Colesseum, beautiful room, everything was new, super clean and maintained.  Great taste pn design. Matteo was a great host. Price / quality was excellent!;10
5;1;2022-03-27;37;We had a great stay at Matteo's. The location is superb. Matteo was very flexible and accomodating with our arrival and departure time. The place was clean and cozy. We would stay here again.;10
6;1;2022-04-01;38;Really great apartment in an awesome area! He was very helpful and flexible with check in/check out. Thanks Matteo!!;10
7;1;2022-04-02;39;Matteo was very friendly and welcomed us at the door. We had to change our arrival time a couple of times, but he was very accommodating. He explained the apartment to us and everything was in perfect condition. The apartment is just as seen on the pictures and its really in a great location. I would stay here again. ;9
8;1;2022-04-02;40;Nice and clean apartment! Matteo was an awesome host :)<br/>;10
9;1;2022-04-05;41;It was two perfect day at Rome on this apartment. Matteo was helpfull and makes these days unforgetable. ;10
10;1;2022-04-06;42;Ho<br/>Soggiornato da Matteo per una notte con alcune amiche. Che dire: il loft è carinissimo! Spazioso e curato nel dettagli! Si trova in una bellissima strada tranquilla a due passi dal Colosseo e dalle vie principali di Monti. Matteo si è dimostrato un'amico per quanto è stato disponibile e cortese! Insomma un meraviglioso soggiorno!!!!!;8
11;1;2022-04-10;43;Clean little loft.  Great location, a few minutes walk from the colosseum, restaurants and metro. Matteo is a friendly host.;10
12;1;2022-04-13;44;The apartment is comfortable and very light for being on the bottom floor. Matteo was incredibly helpful, and made checking in and out very easy. The location is excellent -- easy walking distance to many of Rome's attractions, but quite quiet. ;10
13;1;2022-04-25;45;Matteo was very warm and accommodating. The pictures he posted were very representative of his apartment and we had a great stay.;10
14;1;2022-04-29;46;When we arrived at Matteo's apartment we were greeted personally and then shown around the area, which was only 2 minutes from the colosseum! The apartment was lovely, modern and clean, great for a group of people in such a central location. Matteo was an amazing host who is generous, really friendly and made us feel extremely at home. Definitely recommend for anyone who is looking for a great apartment in central Rome! Thank you :) ;10
15;1;2022-05-05;47;Le logement est conforme à la description. Il manque peut être un peu de lumière mais il est vraiment très bien placé, à 2min du Colisée, le quartier est calme, proche des supermarchés et petits restaurants ! Pour les transports, il y a la station Colisée du métro B et à 10min à pied, la ligne A qui mène directement au Vatican! La fontaine de Trevi est à moins de 30min à pied. Matteo est super sympa, il répond vite et est à votre disposition pendant tout votre séjour ! ;10
16;1;2022-05-10;48;Clean updated and well accommodated apartment a very short from the Colessium, local restaurants, cafes and a beautiful park. Matteo was a fantastic and kind host that met us at the door even though our ride from the airport was delayed. He gave us some tips on where to eat and what to see as well as was available when we had questions.  On our departure he even called a cab for us to get to Termini. We've already recommended this apartment to other people!;9
17;1;2022-05-12;49;Bell'appartamento in una zona fantastica do Roma. Matteo, l'host, molto professionale e gentile. Consigliatissimo!!!;8
18;2;2022-04-22;50;Friendly host, wonderful place. The host put in very nice touch to the place.;10
19;2;2022-04-26;51;A lovely apartment in the center of Rome. Federica is a lovely host, and made us feel welcome. She also left us a guide about Rome, restaurants and all sort of different things, which was very useful. We'll definitely stay here again the next time we're in Rome!;10
20;2;2022-04-28;52;Siamo stati il mio ragazzo e io, era la nostra prima volta a Roma. Federica è stata gentilissima con noi dal primo al ultimo momento. La camera era pulita e tranquilla. Il bagno con stile, carino e pulito. Vicina a Piazza della Republica e Termini, facile di raggiungere a piedi e comoda per muoversi per Roma. Se torniamo a Roma, ripetiremo in questo posto. // Hemos estado mi novio y yo, era nuestra primera vez en Roma. Federica ha sido muy amable con nosotros desde el primer al último momento. La habitación es tranquila y limpia. El baño con estilo, bonito y limpio. Cerca de Plaza de la República y Termini, fácil de llegar a pie y cómoda para moverse por Roma. Si volvemos a Roma, repetiremos en este sitio.;10
21;2;2022-04-29;53;Tutto come da descrizione. Camera facile da raggiungere. Federica è stata un'host gentile e disponibile. Consigliato.;10
22;2;2022-05-03;54;A small cute room close to Republica metro station. The room was suitable for 2 people, nicely and simply decorated and as far as I can tell recently renovated. Its bathroom was clean and well organized. In the room there was a small fridge where we could store our food, bought from a supermarket sound the corner. The bed was really comfortable after a long day, walking around the so many sights of Rome. Federica had left some coupons for us to have breakfast at a shop nearby, a map with the most important sights and some directions. Unfortunately, we didn't have the chance to meet Federica in person but she had given us all the necessary information. I would definitely visit the same house some time in the future.;10
23;2;2022-05-06;55;Frederica was very helpful, especially regarding parking. The apartment was in a great location, with lots of places to eat and quick access to metro and walking distance for sights. The apartment itself was superb and faultless. It's was exceptionally clean and modern, comfy bed and felt like a 4 star hotel! I would definitely come back if visiting Rome again. ;9
24;2;2022-05-08;56;Camera bellissima, prezzo contenuto, zona tranquilla, host gentilissima e disponibile. Consigliatissima!;10
25;2;2022-05-13;57;Great clean room with its own bathroom! The only downside is the wifi connection which was only available in certain parts of the room (near the door). The room is located in a good location. ;10
26;2;2022-05-16;58;Federica was fantastic and we loved this little spot. Our arrival and departure couldn't have been more seemless. Federica provided suggestions to places to eat and even though we didn't go there found it comforting that we had options. We found an amazing little restaurant around the corner that my husband still can't stop talking about <br/>La Locanda di Bacco. Oh also, everything was incredibly clean which was really amazing.;8
27;2;2022-05-27;59;Camera e bagno semplicemente perfetti! ottima la posizione tra il centro e la stazione!   Simpatici e disponibili i padroni di casa...;10
28;2;2022-05-28;60;Todo correcto y ajustado a la descripción. Anfitriones amables.;10
29;3;2022-05-24;61;The reservation was canceled 59 days before arrival. This is an automated posting.;10
